crime_type ,district ,beat_number ,map_reference ,phxcommunity ,domestic
5 ,2 ,122 ,077 ,0 ,0
5 ,2 ,122 ,122 ,0 ,0
4 ,3 ,115 ,040 ,0 ,0
3 ,1 ,111 ,020 ,0 ,0
3 ,1 ,111 ,025 ,0 ,0
3 ,1 ,111 ,025 ,0 ,0
3 ,3 ,112 ,083 ,0 ,0
3 ,1 ,114 ,065 ,0 ,0
3 ,3 ,115 ,039 ,0 ,0
3 ,3 ,116 ,052 ,0 ,0
3 ,3 ,116 ,052 ,0 ,0
3 ,3 ,116 ,052 ,0 ,0
3 ,3 ,116 ,052 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,053 ,0 ,0
3 ,3 ,116 ,054 ,0 ,0
3 ,2 ,117 ,118 ,0 ,0
3 ,2 ,117 ,118 ,0 ,0
3 ,3 ,118 ,004 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
3 ,3 ,118 ,120 ,0 ,0
8 ,3 ,112 ,083 ,0 ,0
8 ,1 ,113 ,031 ,1 ,0
8 ,1 ,113 ,032 ,0 ,0
8 ,1 ,113 ,034 ,0 ,0
8 ,1 ,114 ,026 ,1 ,0
8 ,1 ,114 ,026 ,0 ,0
8 ,1 ,114 ,035 ,0 ,0
8 ,1 ,114 ,036 ,0 ,0
8 ,1 ,114 ,036 ,0 ,0
8 ,1 ,114 ,065 ,0 ,0
8 ,3 ,115 ,039 ,1 ,0
8 ,3 ,115 ,039 ,1 ,0
8 ,3 ,115 ,039 ,0 ,0
8 ,3 ,115 ,039 ,0 ,0
8 ,3 ,115 ,042 ,0 ,1
8 ,3 ,115 ,044 ,0 ,0
8 ,3 ,116 ,041 ,0 ,0
8 ,3 ,116 ,041 ,0 ,0
8 ,3 ,116 ,041 ,0 ,0
8 ,3 ,116 ,041 ,0 ,0
8 ,3 ,116 ,051 ,0 ,0
8 ,3 ,116 ,051 ,0 ,0
8 ,3 ,116 ,053 ,0 ,0
